,Title,Artist,Lyrics
116,Na Unção de Deus,Elaine de Jesus,"Quando as lutas vierem contra ti
Irmão, insista, ainda não é o fim
A tua fé, mesmo fraca, ela é forte
Destrói muralhas
Ponha os olhos no Senhor Jesus
Receba a bênção e a Sua luz
Você vai ver, você vai vencer
Na unção de Deus e no Seu poder
O crente cheio da unção
Manda glória pra cima e recebe poder
Ele passa o Mar Vermelho, sai do lado de lá
Ele expulsa os demônios, faz o inferno tremer
Ele louva a Deus na cova, faz leão dormir
Ele ora no holocausto e o fogo vai cair
Quando está no deserto, Deus envia o maná
Se vier o Jordão, o rio vai abrir
E, se não abrir, vai passar por cima das águas
Na unção de Deus
Ponha os olhos no Senhor Jesus
Receba a bênção e a Sua luz
Você vai ver, você vai vencer (você vai vencer, você vai vencer)
Na unção de Deus e no Seu poder (no Seu poder)
O crente cheio da unção
Manda glória pra cima e recebe poder
Ele passa o Mar Vermelho, sai do lado de lá
Ele expulsa os demônios, faz o inferno tremer
Ele louva a Deus na cova, faz leão dormir
Ele ora no holocausto e o fogo vai cair
Quando está no deserto, Deus envia o maná
Se vier o Jordão, o rio vai abrir
E, se não abrir, vai passar por cima das águas
Na unção de Deus
O crente cheio da unção
Manda glória pra cima e recebe poder
Ele passa o Mar Vermelho, sai do lado de lá
Ele expulsa os demônios, faz o inferno tremer
Ele louva a Deus na cova, faz leão dormir
Ele ora no holocausto e o fogo vai cair
Quando está no deserto, Deus envia o maná
Se vier o Jordão, o rio vai abrir
E, se não abrir, vai passar por cima das águas
Na unção de Deus
Na unção de Deus
Na unção de Deus"
117,Firme Nas Promessas,Harpa Cristã,"Firme nas promessas do meu Salvador
Cantarei louvores ao meu Criador
Fico na dispensação do Seu amor
Firme nas promessas de Jesus
Firme, firme
Firme nas promessas de Jesus, o Cristo
Firme, firme
Sim, firme nas promessas de Jesus
Firme nas promessas, hei de não falhar
Quando as tempestades vêm me assolar
Pelo verbo vivo hei de batalhar
Firme nas promessas de Jesus
Firme, firme
Firme nas promessas de Jesus, o Cristo
Firme, firme
Sim, firme nas promessas de Jesus
Firme nas promessas, sempre vejo assim
Purificação no sangue, para mim
Plena liberdade em Jesus sem fim
Firme nas promessas de Jesus
Firme, firme
Firme nas promessas de Jesus, o Cristo
Firme, firme
Sim, firme nas promessas de Jesus
Firme nas promessas do Senhor Jesus
Em amor ligado com a Sua cruz
Cada dia mais alegro-me na luz
Firme nas promessas de Jesus
Firme, firme
Firme nas promessas de Jesus, o Cristo
Firme, firme
Sim, firme nas promessas de Jesus"
118,Eu Navegarei,Gabriela Rocha,"Eu navegarei
No oceano do Espírito
E ali adorarei
Ao Deus do meu amor
Eu adorarei
Ao Deus da minha vida
Que me compreendeu
Sem nenhuma explicação
Espírito, Espírito
Que desce como fogo
Vem como em Pentecostes
E enche-me de novo
Espírito, Espírito
Que desce como fogo
Vem como em Pentecostes
E enche-me de novo
Eu navegarei
No oceano do Espírito
E ali adorarei
Ao Deus do meu amor
Eu adorarei
Ao Deus da minha vida
Que me compreendeu
Sem nenhuma explicação
Espírito, Espírito
Que desce como fogo
Vem como em Pentecostes
E enche-me de novo
Espírito, Espírito
Que desce como fogo
Vem como em Pentecostes
E enche-me de novo"
119,Era a Mão de Deus,Kailane Frauches,"Tem dias que a angústia bate forte aí dentro do seu peito
Você tenta enxergar a solução e não vê jeito
Agora senta pra me ouvir
Batalhas e dificuldades bem maiores você já venceu
Foram provas tão difíceis que hoje chega até dizer
Não entendo como foi que eu venci
A verdade é que existe um mistério aí dentro
Uma força que excede o entendimento
A razão pra ter chegado até aqui
Tem alguém que esteve do seu lado em toda a trajetória
Alguém que conhece até o fim da história
E me trouxe até aqui pra te dizer
Lembra quando estava por um fio pra desistir?
E quando faltou isso aqui pra você cair?
E mesmo assim você tentou mais uma vez
Era a mão de Deus
Era a mão de Deus
Segurando a sua mão pra não cair
Você não veio até aqui pra desistir
Então não tem porque chorar, volte a sorrir
Era a mão de Deus e vai ser sempre assim
A verdade é que existe um mistério aí dentro
Uma força que excede o entendimento
A razão pra ter chegado até aqui
Tem alguém que esteve do seu lado em toda a trajetória
Alguém que conhece até o fim da história
E me trouxe até aqui pra te dizer
Lembra quando estava por um fio pra desistir?
E quando faltou isso aqui pra você cair?
E mesmo assim você tentou mais uma vez
Era a mão de Deus
Era a mão de Deus
Segurando a sua mão pra não cair
Você não veio até aqui pra desistir
Então não tem porque chorar, volte a sorrir
Era a mão de Deus e vai ser sempre assim
Era a mão de Deus e vai ser sempre assim
Na tristeza ou na alegria
Era a mão de Deus e vai ser sempre assim
Na tempestade ou na bonança
Era a mão de Deus
Era a mão de Deus
Contigo até o fim
Lembra quando estava por um fio pra desistir?
E quando faltou isso aqui pra você cair?
E mesmo assim você tentou mais uma vez
Era a mão de Deus
Era a mão de Deus
Segurando a sua mão pra não cair
Você não veio até aqui pra desistir
Então não tem porque chorar, volte a sorrir
Era a mão de Deus e vai ser sempre assim
Era a mão de Deus
Era a mão de Deus
É a mão de Deus e vai ser sempre assim"
120,Don't Stop Believin',Journey,"Just a small town girl
Livin' in a lonely world
She took the midnight train going anywhere
Just a city boy
Born and raised in South Detroit
He took the midnight train going anywhere
A singer in a smoky room
The smell of wine and cheap perfume
For a smile, they can share the night
It goes on and on and on and on
Strangers waiting
Up and down the boulevard
Their shadows searching in the night
Streetlights, people
Living just to find emotion
Hiding somewhere in the night
Working hard to get my fill
Everybody wants a thrill
Payin' anything to roll the dice
Just one more time
Some will win, some will lose
Some were born to sing the blues
Oh, the movie never ends
It goes on and on and on and on
Strangers waiting
Up and down the boulevard
Their shadows searching in the night
Streetlights, people
Living just to find emotion
Hiding somewhere in the night
Don't stop believin'
Hold on to that feelin'
Streetlights, people
Don't stop believin'
Hold on, ooh
Streetlights, people
Don't stop believin'
Hold on to that feelin'
Streetlights, people"
121,Say You Won't Let Go,James Arthur,"I met you in the dark, you lit me up
You made me feel as though I was enough
We danced the night away, we drank too much
I held your hair back when you were throwing up
Then you smiled over your shoulder
For a minute, I was stone cold sober
I pulled you closer to my chest
And you asked me to stay over
I said: I already told ya
I think that you should get some rest
I knew I loved you then, but you'd never know
'Cause I played it cool when I was scared of letting go
I knew I needed you, but I never showed
I wanna stay with you until we're grey and old
Just say you won't let go
Just say you won't let go
I wake you up with some breakfast in bed
I'll bring you coffee with a kiss on your head
And I'll take the kids to school, wave them goodbye
And I'll thank my lucky stars for that night
When you looked over your shoulder
For a minute, I forget that I'm older
I wanna dance with you right now, oh
And you look as beautiful as ever
And I swear that everyday you get better
You make me feel this way somehow
I'm so in love with you and I hope you know
Darling, your love is more than worth its weight in gold
We've come so far, my dear, look how we've grown
And I wanna stay with you until we're grey and old
Just say you won't let go
Just say you won't let go
I wanna live with you
Even when we're ghosts
'Cause you were always there for me
When I needed you most
I'm gonna love you till my lungs give out
I promise till death we part, like in our vows
So I wrote this song for you, now everybody knows
'Cause that is just you and me until we're grey and old
Just say you won't let go
Just say you won't let go
Just say you won't let go
Oh, just say you won't let go"
122,Arrasada,Heitor Costa,"Maquiagem pronta, cabelo ok
Mais uma noite ela apronta pra atingir o seu ex
Roupa decotada, mal-intencionada
Às vinte e duas, ela sai de casa
Às vinte e três, ela já tá na balada
Às zero hora, ela já zerou duas garrafas
Tiraram a cor da sua boca, tão querendo tirar sua roupa
Pro seu azar, vontade é muita, coragem é pouca
Quatro da manhã cê pega o Uber com a cara de choro
Com o salto na mão, copo seco no outro
Toda descabelada, maquiagem borrada
Saiu pra arrasar e voltou arrasada
Quatro da manhã cê pega o Uber com a cara de choro
Com o salto na mão, copo seco no outro
Toda descabelada, maquiagem borrada
Saiu pra arrasar e voltou arrasada
E às vinte e três, ela já tá na balada
Às zero hora, ela já zerou duas garrafas
Tiraram a cor da sua boca, tão querendo tirar sua roupa
Pro seu azar, vontade é muita e a coragem é pouca
Quatro da manhã cê pega o Uber com a cara de choro
Com o salto na mão, copo seco no outro
Toda descabelada, maquiagem borrada
Saiu pra arrasar, voltou arrasada
Quatro da manhã cê pega o Uber com a cara de choro
Com o salto na mão, copo seco no outro
Toda descabelada, maquiagem borrada
Saiu pra arrasar e voltou arrasada
Uou, uou
Uou, uou
Uou"
123,Até Que o Senhor Venha,Ministério Zoe,"Oh, se Você rasgar o céu
Apenas mais uma vez
Oh, se Você descer e fizer
Teus grandes feitos de novo
Como nos tempos passados
Mostra Teu braço forte, ó, grande Rei!
Mostra a esta geração
Teus prodígios e sinais
Vem mais uma vez e faz tudo novo
Vem mais uma vez e agita todo o meu ser
Faz a eternidade se alinhar com o natural
E da terra, nós, que somos pó, clamamos
Aviva-nos, aviva-nos, aviva-nos, Senhor!
Fere meu coração
Com uma ferida de fome por Ti
Fere meu coração
Com uma ferida de sede por Ti
Ensina-me a clamar e a suplicar
Até que o Senhor venha
Fere meu coração
Com uma ferida de fome por Ti
Fere meu coração
Com uma ferida de sede por Ti
Ensina-me a clamar e a suplicar
Até que o Senhor venha
Até que o Senhor venha
Eu vou clamar
Até que o Senhor venha
Eu não vou descansar
Até que o Senhor venha
Eu vou gastar a minha vida
Diante do Teu altar, Deus
Diante do Teu altar
Até que o Senhor venha
Eu vou clamar
Até que o Senhor venha
Eu não vou descansar
Até que o Senhor venha
Eu vou gastar a minha vida
Diante do Teu altar, Deus
Diante do Teu altar
Fere meu coração
Com uma ferida de fome por Ti
Fere meu coração
Com uma ferida de sede por Ti, Deus
Ensina-me a clamar e a suplicar
Até que o Senhor venha
Até que o Senhor venha
Eu vou clamar
Até que o Senhor venha
Eu não vou descansar
Até que o Senhor venha
Eu vou gastar a minha vida
Diante do Teu altar, Deus
Diante do Teu altar
Até que o Senhor venha
Eu vou clamar
Até que o Senhor venha
Eu não vou descansar
Até que o Senhor venha
Eu vou gastar a minha vida
Diante do Teu altar, Deus
Diante do Teu altar"
124,Caso Indefinido,Cristiano Araújo,"Será que alguém explica a nossa relação?
Um caso indefinido, mas rola paixão
Adoro esse perigo, mexe demais comigo
Mas não te tenho em minhas mãos
Se você quiser
Podemos ser um caso indefinido ou nada mais
Apenas bons amigos, namorar, casar, ter filhos
Passar a vida inteira juntos, oh
E vai saber se um dia seremos nós
Nenhum beijo pra calar nossa voz
Um minuto, uma hora, não importa o tempo
Se estamos sós
Se você quiser
A gente casa ou namora
A gente fica ou enrola
O que eu mais quero é que você me queira, oh
Se você quiser
A gente casa ou namora
A gente fica ou enrola
O que eu mais quero é que você me queira, oh
Por um momento ou pra vida inteira
E vai saber se um dia seremos nós
Nenhum beijo pra calar nossa voz
Um minuto, uma hora, não importa o tempo
Se estamos sós
Se você quiser
A gente casa ou namora
A gente fica ou enrola
O que eu mais quero é que você me queira, oh
Se você quiser
A gente casa ou namora
A gente fica ou enrola
O que eu mais quero é que você me queira, oh
Se você quiser
A gente casa ou namora
A gente fica ou enrola
O que eu mais quero é que você me queira, oh
Se você quiser
A gente casa ou namora
A gente fica ou enrola
O que eu mais quero é que você me queira, oh
Por um momento ou pra vida inteira"
125,"Jesus, Tu És Bom",Harpa Cristã,"Meu Jesus, Tu és bom
Tu és tudo pra mim!
Foste morto, mas vives em mim
Tu mereces louvor
Ó Cordeiro de Deus!
Tu és tudo, sim, tudo pra mim!
Quero a Ti dar louvor
Pois és Rei sobre reis
Tu és tudo, mas nada eu sou
Enche meu coração
De ternura e paz
Honra eterna e glória Te dou
O Teu nome é amor
Pois Tu amas a mim
E eu quero andar neste amor
Triunfante estou
Confiando em Ti
Meu Jesus, grande Consolador
Ó Ungido de Deus
Trazes paz e perdão
Salvação, vida, tens para os Teus
Que mensagem do céu
E de transformação
Enviada do trono de Deus!"
126,Inflama,Valesca Mayssa,"Eu não vou sair daqui
Encontrei o meu lugar
Meu desejo é Te servir
Faz em mim o Teu altar
Nada é mais importante
Não há nada que eu queira mais
Traz o céu, se não quiser, faz a terra subir
Com Tua glória, envolve-me
Sopra o Teu vento aqui, toma todo esse lugar
Santo Espírito de Deus, vem com fogo batizar
Inflamar esse lugar
Sopra o Teu vento aqui, toma todo esse lugar
Santo Espírito de Deus, vem com fogo batizar
Inflamar esse lugar
Nada é mais importante
Não há nada que eu queira mais
Traz o céu, se não quiser, faz a terra subir
Com Tua glória, envolve-me, oh
Envolve-me
Envolve-me
Sopra o Teu vento aqui, toma todo esse lugar
Santo Espírito de Deus, vem com fogo batizar
Inflamar esse lugar
(Sopra) sopra o Teu vento aqui, toma todo esse lugar
Santo Espírito de Deus, vem com fogo batizar
Inflamar esse lugar
Inflama a minha alma com Tua chama
Vem, derrama, fogo no altar não se apagará
Inflama a minha alma com Tua chama
Vem, derrama, fogo no altar não se apagará
Sopra o Teu vento aqui, toma todo esse lugar
Santo Espírito de Deus, vem com fogo batizar
Inflamar esse lugar
(Sopra, sopra) sopra o Teu vento aqui, toma todo esse lugar
Santo Espírito de Deus, vem com fogo batizar (vem, vem, vem)
E vem inflamar esse lugar
E vem inflamar todo esse lugar
E vem inflamar todo esse lugar (oh)
E vem inflamar todo esse lugar
E vem inflamar todo esse lugar (inflamar, inflamar, inflamar, inflamar)
E vem inflamar todo esse lugar
E vem inflamar todo esse lugar"
127,Eu Não Perdi o Controle,Samuel Messias,"Parece que está tudo bem
Pra todo mundo está tudo bem
Mas Eu conheço o teu coração
Conheço você por dentro
E por conhecer
Quantas vezes está sorrindo
Mas por dentro está chorando?
Por fora tem a cicatriz
Mas por dentro está sangrando?
Mas Eu conheço o teu coração
Conheço você por dentro
Antes de Eu começar
A Minha obra em sua vida, lá no ventre da sua mãe
A sua história Eu já tinha escrito, filho
Só parece que é o fim e vai morrer
E o desespero toma conta do seu coração
Mas Eu não perdi não
Mas Eu não perdi não
O controle não
Eu não perdi o controle não
Eu não perdi o controle não
Eu não perdi o controle
A sua história já estava escrita
E Eu não perdi o controle não, não
Eu não perdi o controle não
Eu não perdi o controle
Eu não perdi o controle não
Antes de Eu começar
A Minha obra em sua vida, lá no ventre da sua mãe
A sua história Eu já tinha escrito, filho
Só parece que é o fim e vai morrer
E o desespero toma conta do seu coração
Mas Eu não perdi não
Mas Eu não perdi não
Mas Eu não perdi não
Mas Eu não perdi não
Mas Eu não perdi não
Mas Eu não perdi não
E Eu não perdi o controle não
Ah, eu não perdi
Pode uma mãe se esquecer de um filho?
Davi, estava esquecido?
Cuidando de ovelhas, estava esquecido?
José, estava esquecido
Na cisterna, estava esquecido
Venderam ele, estava esquecido
No palácio, estava esquecido
Na prisão, estava esquecido
O paralítico, estava esquecido
No tanque de Betesda, estava esquecido
O cego Bartimeu, estava esquecido
Em Jericó, estava esquecido
O Carpinteiro, estava esquecido
Venderam Ele, estava esquecido
Prenderam Ele, estava esquecido
Deram uma cruz pra Ele, estava esquecido
Na via dolorosa, estava esquecido
Crucificaram Ele, estava esquecido
No primeiro dia, estava esquecido
No segundo dia, estava esquecido
Mas no terceiro dia, Ele ressuscitou
No terceiro dia, Ele se levantou
E mandou eu vir aqui
Só para te dizer
Não perdi o controle não
Eu não perdi o controle não, não
Eu não perdi o controle não
Eu não perdi o controle
Eu não perdi o controle não
Eu não perdi o controle não, não
Eu não perdi o controle não
Eu não perdi o controle
E Eu não perdi o controle não, não
Eu não perdi o controle não
Eu não perdi o controle
Eu não perdi o controle não, não
Eu não perdi não, não, não, não
Eu não perdi
Eu não perdi
Só parece que está perdido
Só parece que está sem saída
Mas eu não perdi
Eu não perdi
O controle ainda está em Minhas mãos
Eu não perdi
Eu não perdi"
128,MILLION DOLLAR BABY,Tommy Richman,"Do it, baby, do what I should think
Do it, do it, baby, do what I could think
Do it, do it, baby, do what I should think
Do it, do it, baby, do what I could think
Do it, do it, do it, baby, do what I should think
Do it, baby, do what I could think
Do it, do it, do it, baby, do what I should think
Do it, do it baby, do what I could think
I ain't never rep a set, baby (tsk, tsk)
I ain't do no wrong
I could clean up good for you
Oh, I know right from wrong
'Cause I wanna make it, so badly (mm, mm, mm)
I'm a million dollar baby (mm, mm, mm), don't at me
Yeah, hell no (yeah, yeah)
You rep my city for so damn long (ah, ah)
But you still don't notice me, my sound next (mhm)
VA next (yeah, yeah), I'm at they neck (yeah, yeah)
I'm running up a check (yeah, yeah, yeah, yeah)
She a bad lil' mama, she a diva (mm)
No matter what happens, he cannot come between us again (mm, mm, mm)
I know we're better than friends (better than friends)
I took her to Queen's Gambit (yeah, yeah), showed around my friends
Tried to pick some energy up, it don't matter
I know you haven't moved on if you tried (oh, no)
I don't believe it, baby, I know you lied (oh, no)
All night long, what you mean, I changed?
Haven't stayed the same
I've been losing my mind (ooh, ooh, ooh)
I said: The city is mine (ooh, ooh, ooh)
I ain't never rep a set, baby (tsk, tsk)
I ain't do no wrong
I could clean up good for you
Oh, I know right from wrong
'Cause I wanna make it, so badly (mm, mm, mm)
I'm a million dollar baby (mm, mm, mm), don't at me
I ain't never rep a set, baby (tsk, tsk)
I ain't do no wrong
I could clean up good for you
Oh, I know right from wrong
'Cause I wanna make it, so badly (mm, mm, mm)
I'm a million dollar baby (mm, mm, mm), don't at me
(Oh, no, no, no)
Hell, hell nah
Yeah, hell, hell nah
(Hell, hell nah) do it, baby, do what I should think
(Hell, hell nah) do it, do it, baby, do what I could think
Do it, baby, do what I should think (hell, hell nah)
Do it, do it, baby, do what I could think
Hell, hell nah
Hell, hell nah"
129,Vim para Adorar-Te,Adoração e Adoradores,"Luz do mundo vieste à terra
Pra que eu pudesse te ver
Tua beleza me leva a adorar-te
Quero contigo viver
Vim para adorar-te
Vim para prostrar-me
Vim para dizer que És meu Deus
És totalmente amável
Totalmente digno
Tão maravilhoso para mim
Eterno Rei exaltado nas alturas
Glorioso nos céus
Humilde vieste à terra que criaste
Por amor, pobre se fez
Vim para adorar-te
Vim para prostrar-me
Vim para dizer que És meu Deus
És totalmente amável
Totalmente digno
Tão maravilhoso para mim
Vim para adorar-te
Vim para prostrar-me
Vim para dizer que És meu Deus
És totalmente amável
Totalmente digno
Tão maravilhoso para mim
Eu nunca saberei o preço
Dos meus pecados lá na cruz
Eu nunca saberei o preço
Dos meus pecados lá na cruz
Eu nunca saberei o preço
Dos meus pecados lá na cruz
Eu nunca saberei o preço
Dos meus pecados lá na cruz
Eu nunca saberei o preço
Dos meus pecados lá na cruz
Eu nunca saberei o preço
Dos meus pecados lá na cruz
Vim para adorar-te
Vim para prostrar-me
Vim para dizer que És meu Deus
És totalmente amável
Totalmente digno
Tão maravilhoso para mim
Vim para adorar-te
Vim para prostrar-me
Vim para dizer que És meu Deus
És totalmente amável
Totalmente digno
Tão maravilhoso para mim
Vim para adorar-te
Vim para prostrar-me
Vim para dizer que És meu Deus
És totalmente amável
Totalmente digno
Tão maravilhoso para mim
Vim para adorar-te
Vim para prostrar-me
Vim para dizer que És meu Deus
És totalmente amável
Totalmente digno
Tão maravilhoso para mim
Vim para adorar-te
Vim para prostrar-me
Vim para dizer que És meu Deus
És totalmente amável
Totalmente digno
Tão maravilhoso para mim"
130,Your Love,The Outfield,"Josie's on a vacation far away
Come around and talk it over
So many things that I wanna say
You know I like my girls a little bit older
I just wanna use your love tonight
I don't wanna lose your love tonight
I ain't got many friends left to talk to
Nowhere to run when I'm in trouble
You know I'd do anything for you
Stay the night but keep it undercover
I just wanna use your love tonight, oh
I don't wanna lose your love tonight
Try to stop my hands from shaking
But something in my mind's not making sense
It's been a while since we've been all alone
I can't hide the way I'm feeling
As you're leaving, please, would you close the door?
And don't forget what I told you
Just 'cause you're right, that don't mean I'm wrong
Another shoulder to cry upon
I just wanna use your love tonight, yeah
I don't wanna lose your love tonight, yeah
I just wanna use your love tonight
I don't wanna lose your love tonight
I just wanna use your love tonight
I don't wanna lose your love tonight
(Use your love, lose your love)
Your love (use your love)
Well, I don't wanna lose (lose your—, tonight)
I don't wanna, I don't wanna, I don't wanna lose (use your—, tonight)
Your love (lose your—, tonight)
Your love, your love (use your—, tonight)
Your love (I don't wanna lose your love tonight)
(Use your—, tonight)"
131,Em Jesus,Harpa Cristã,"Em Jesus, vivendo cada dia
Em Jesus, eu tenho alegria
Em Jesus, oh, doce harmonia
Em Jesus, desfruto a paz de Deus!
Em Jesus, na rocha inabalável
Em Jesus, no homem incomparável
Em Jesus, no Deus tão adorável
Em Jesus, o mal não temerei!
Em Jesus, a graça é infinita
Em Jesus, oh, Bênção inaudita
Em Jesus, minh'alma é bendita
Em Jesus, eu tenho salvação!
Em Jesus, não temo o mal e a morte
Em Jesus, estou firmado e forte
Em Jesus, meu barco ruma ao norte
Em Jesus, eu sempre hei de vencer!"
132,Shallow (feat. Bradley Cooper),Lady Gaga,"Tell me something, girl
Are you happy in this modern world?
Or do you need more?
Is there something else you’re searching for?
I’m falling
In all the good times
I find myself longing for change
And in the bad times, I fear myself
Tell me something, boy
Aren’t you tired trying to fill that void?
Or do you need more?
Ain’t it hard keeping it so hardcore?
I’m falling
In all the good times
I find myself longing for change
And in the bad times, I fear myself
I’m off the deep end, watch as I dive in
I’ll never meet the ground
Crash through the surface
Where they can’t hurt us
We’re far from the shallow now
In the shallow, shallow
In the shallow, shallow
In the shallow, shallow
We’re far from the shallow now
I’m off the deep end, watch as I dive in
I’ll never meet the ground
Crash through the surface
Where they can’t hurt us
We’re far from the shallow now
In the shallow, shallow
In the shallow, shallow
In the shallow, shallow
We’re far from the shallow now"
133,Someone You Loved,Lewis Capaldi,"I'm going under and this time
I fear there's no one to save me
This all or nothing really got a way
Of driving me crazy
I need somebody to heal, somebody to know
Somebody to have, somebody to hold
It's easy to say, but it's never the same
I guess I kinda liked
The way you numbed all the pain
Now the day bleeds into nightfall
And you're not here
To get me through it all
I let my guard down
And then you pulled the rug
I was getting kinda used
To being someone you loved
I'm going under and this time
I fear there's no one to turn to
This all or nothing way of loving
Got me sleeping without you
Now, I need somebody to know, somebody to heal
Somebody to have, just to know how it feels
It's easy to say, but it's never the same
I guess I kinda liked
The way you helped me escape
Now the day bleeds into nightfall
And you're not here
To get me through it all
I let my guard down
And then you pulled the rug
I was getting kinda used
To being someone you loved
And I tend to close my eyes
When it hurts sometimes
I fall into your arms
I'll be safe in your sound
Till I come back around
For now the day bleeds into nightfall
And you're not here
To get me through it all
I let my guard down
And then you pulled the rug
I was getting kinda used
To being someone you loved
But now the day bleeds into nightfall
And you're not here
To get me through it all
I let my guard down
And then you pulled the rug
I was getting kinda used
To being someone you loved
I let my guard down
And then you pulled the rug
I was getting kinda used
To being someone you loved"
134,Locked Out Of Heaven,Bruno Mars,"One, two, one, two, three
Oh, yeah, yeah
Oh, yeah, yeah, yeah, yeah (oh)
Oh, yeah, yeah
Oh, yeah, yeah, yeah, yeah (oh)
Never had much faith in love or miracles (oh)
Never wanna put my heart on the line (oh)
But swimming in your water is something spiritual (oh)
I'm born again every time you spend the night (oh)
'Cause your sex takes me to paradise
Yeah, your sex takes me to paradise
And it shows, yeah, yeah, yeah
'Cause you make me feel like
I've been locked out of heaven
For too long
For too long
Yeah, you make me feel like
I've been locked out of heaven
For too long
For too long
Oh, yeah, yeah, yeah, yeah (oh)
Oh, yeah, yeah
Oh, yeah, yeah, yeah, yeah (oh)
You bring me to my knees
You make me testify (oh)
You can make a sinner change his ways (oh)
Open up your gates 'cause I can't wait to see the light (oh)
And right there is where I wanna stay (oh)
'Cause your sex takes me to paradise
Yeah, your sex takes me to paradise
And it shows, yeah, yeah, yeah, yeah
'Cause you make me feel like
I've been locked out of heaven
For too long
For too long
Yeah, you make me feel like
I've been locked out of heaven
For too long
For too long
Oh, oh, oh, oh, yeah, yeah, yeah
Can I just stay here?
Spend the rest of my days here?
Oh, oh, oh, oh, yeah, yeah, yeah
Can I just stay here?
Spend the rest of my days here?
‘Cause you make me feel like
I've been locked out of heaven
For too long
For too long
Yeah, you make me feel like
I've been locked out of heaven
For too long
For too long
Oh, yeah, yeah, yeah, yeah (oh)
Oh, yeah, yeah
Oh, yeah, yeah, yeah, yeah (oh)"
135,Let Her Go,Passenger,"Well, you only need the light when it's burning low
Only miss the Sun when it starts to snow
Only know you love her when you let her go
Only know you've been high when you're feeling low
Only hate the road when you're missing home
Only know you love her when you let her go
And you let her go
Staring at the bottom of your glass
Hoping one day you'll make a dream last
But dreams come slow and they go so fast
You see her when you close your eyes
Maybe one day you'll understand why
Everything you touch surely dies
But you only need the light when it's burning low
Only miss the Sun when it starts to snow
Only know you love her when you let her go
Only know you've been high when you're feeling low
Only hate the road when you're missing home
Only know you love her when you let her go
Staring at the ceiling in the dark
Same old empty feeling in your heart
'Cause love comes slow and it goes so fast
Well, you see her when you fall asleep
But never to touch and never to keep
'Cause you loved her too much and you dived too deep
Well, you only need the light when it's burning low
Only miss the Sun when it starts to snow
Only know you love her when you let her go
Only know you've been high when you're feeling low
Only hate the road when you're missing home
Only know you love her when you let her go
And you let her go
Oh, oh, woah, oh, oh
And you let her go
Oh, oh, woah, oh, oh
When you let her go
Whoa
'Cause you only need the light when it's burning low
Only miss the Sun when it starts to snow
Only know you love her when you let her go
Only know you've been high when you're feeling low
Only hate the road when you're missing home
Only know you love her when you let her go
'Cause you only need the light when it's burning low
Only miss the Sun when it starts to snow
Only know you love her when you let her go
Only know you've been high when you're feeling low
Only hate the road when you're missing home
Only know you love her when you let her go
And you let her go"
136,Faz Um Milagre Em Mim,Regis Danese,"Como Zaqueu, eu quero subir
O mais alto que eu puder
Só pra Te ver, olhar para Ti
E chamar Sua atenção para mim!
Eu preciso de Ti, Senhor
Eu preciso de Ti, ó Pai
Sou pequeno demais, me dá a Tua paz
Largo tudo pra Te seguir
Entra na minha casa
Entra na minha vida
Mexe com minha estrutura
Sara todas as feridas
Me ensina a ter santidade
Quero amar somente a Ti
Porque o Senhor é o meu bem maior
Faz um milagre em mim
Como Zaqueu, eu quero subir
O mais alto que eu puder
Só pra Te ver, olhar para Ti
E chamar Sua atenção para mim!
Eu preciso de Ti, Senhor
Eu preciso de Ti, ó Pai
Sou pequeno demais, me dá a Tua paz
Largo tudo pra Te seguir
Entra na minha casa
Entra na minha vida
Mexe com minha estrutura
Sara todas as feridas
Me ensina a ter santidade
Quero amar somente a Ti
Porque o Senhor é o meu bem maior
Faz um milagre em mim
Entra na minha casa
Entra na minha vida
Mexe com minha estrutura
Sara todas as feridas
Me ensina a ter santidade
Quero amar somente a Ti
Porque o Senhor é o meu bem maior
Faz um milagre em mim
Entra na minha casa
Entra na minha vida
Mexe com minha estrutura
Sara todas as feridas
Me ensina a ter santidade
Quero amar somente a Ti
Porque o Senhor é o meu bem maior
Faz um milagre em mim
Entra na minha casa
Entra na minha vida
Mexe com minha estrutura
Sara todas as feridas
Me ensina a ter santidade
Quero amar somente a Ti
Porque o Senhor é o meu bem maior
Faz um milagre em mim"
137,Heaven,Bryan Adams,"Oh, thinking about our younger years
There was only you and me
We were young and wild and free
Now nothing can take you away from me
We've been down that road before
But that's over now
You keep me coming back for more
Baby, you're all that I want
When you're lying here in my arms
I'm finding it hard to believe
We're in heaven
And love is all that I need
And I found it there in your heart
It isn't too hard to see
We're in heaven
Oh, once in your life you find someone
Who will turn your world around
Bring you up when you're feeling down
Yeah, nothing could change what you mean to me
Oh, there's lots that I could say
But just hold me now
'Cause our love will light the way
And baby you're all that I want
When you're lying here in my arms
I'm finding it hard to believe
We're in heaven
Yeah, love is all that I need
And I found it there in your heart
It isn't too hard to see
We're in heaven
Yeah
I've been waiting for so long
For something to arrive
For love to come along
Now our dreams are coming true
Through the good times and the bad
Yeah, I'll be standing there by you, oh
And baby you're all that I want
When you're lying here in my arms
I'm finding it hard to believe
We're in heaven
And love is all that I need
And I found it there in your heart
It isn't too hard to see
We're in heaven, heaven, woah
You're all that I want
You're all that I need"
